"fide_id","name","country","sex","title"
4667263,"Mitscherling, Andreas",GER,M,FM
4667506,"Gaede, Derek",GER,M,FM
4667557,"Heinz, Axel",GER,M,IM
4667565,"Lutz, Dieter",GER,M,FM
4667654,"Zimmermann, Julian",GER,M,FM
4667697,"Rosmann, Ilja",GER,M,FM
4667719,"Baramidze, David",GER,M,GM
4667727,"Melikov, Svetlana",GER,F,WFM
4668014,"Maric, Davor",GER,M,FM
4668766,"Meinhardt, Maximilian, Dr.",GER,M,IM
4668820,"Neyman, Igor",GER,M,FM
4669355,"Brookes, Christopher",NED,M,CM
4669916,"Schellmann, Frank",GER,M,CM
4669983,"Niedermeier, Thomas",GER,M,FM
4670140,"Boehm, Joachim",GER,M,CM
4670248,"Boehmer, Christian",GER,M,CM
4670299,"Stadtmann, Jens",GER,M,CM
4670744,"Petzold, Lutz Lukas",GER,M,CM
4671546,"Muehlenhaus, Sven",GER,M,FM
4671660,"Schleining, Zoya",GER,F,IM
4671678,"Yanik, Emine",TUR,F,WFM
4671910,"Kraemer, Martin",GER,M,GM
4671945,"Bader, Katharina",GER,F,WFM
4672046,"Idrizaj, Abedin",KOS,M,CM
4672186,"Postoev-Birkenberg, Alexander",GER,M,FM
4672291,"Shmirina, Halyna",GER,F,FM
4672925,"Voigt, Ingrid",GER,F,WFM
4673476,"Gallien, Fabian",GER,M,CM
4673522,"Hoenick, Andreas",GER,M,CM
4674766,"Siebarth, Raiko",GER,M,FM
4674944,"Junesch, Gerhard",GER,M,FM
4675622,"Helbig, Mark",GER,M,FM
4675665,"de Wiljes, Jan-Hendrik",GER,M,FM
4675711,"Huerter, Helmut",GER,M,FM
4675789,"Meier, Georg",URU,M,GM
4676262,"Kuberczyk, Christoph",GER,M,FM
4676300,"Schippan, Bernhard",GER,M,FM
4676386,"Stark, Lars",GER,M,IM
4676599,"Jochens, Arne",GER,M,FM
4676670,"Bindrich, Falko",GER,M,GM
4677234,"Verfuerth, Thomas",GER,M,CM
4677471,"Holzschuh, Stephan",GER,M,FM
4677501,"Rueberg, Jobst",GER,M,FM
4677617,"Litwak, Aleksej",GER,M,FM
4678230,"Kotlyar, Dimitri",GER,M,FM
4678320,"Voropaev, Gleb",GER,M,FM
4678338,"Eisenbeiser, Amadeus",GER,M,IM
4678354,"Lauer, Moritz",GER,M,FM
4679326,"Czaeczine, Anne",GER,F,WIM
4680103,"Lupor, Andre",GER,M,FM
4680790,"Graf, Rena",GER,F,WGM
4680804,"Graf, Alexander",GER,M,GM
4680812,"Umansky, Mikhail",GER,M,IM
4680820,"Becker, Martin Alexander",GER,M,IM
4680847,"Lammers, Markus",GER,M,IM
4681193,"Jordan, Christian",GER,M,CM
4681401,"Beltz, Franziska",GER,F,WFM
4681410,"Schoene, Maria",GER,F,WIM
4681428,"Heymann-Lobzhanidze, Anna-Luise",GER,F,WFM
4681452,"Siedentopf, Daniel",GER,M,FM
4681932,"Feuerstack, Aljoscha",GER,M,IM
4682033,"Tonndorf, Matthias",GER,M,FM
4682041,"Wiegmann, Sascha",GER,M,FM
4682076,"Riemay, David",GER,M,CM
4682157,"Leveikina, Jevgenija",GER,F,WFM
4682165,"Fruebing, Stefan",GER,M,IM
4682190,"Skibbe, Willi",GER,M,FM
4682742,"Poeck, Ole",GER,M,FM
4682882,"Herbold, Manfred",GER,M,CM
4682920,"Klink, Tamara",GER,F,WGM
4683137,"Vogel, Heike",GER,F,WFM
4683161,"Wehner, Roland",GER,M,FM
4683200,"Tran, Thanh Kien",GER,M,CM
4684257,"Chevelevitch, Evgueni, Dr.",GER,M,IM
4684915,"Braun, Vitali",GER,M,FM
4685458,"Mack, Wolfgang",GER,M,FM
4685598,"Ljubarskij, Juri",GER,M,FM
4685601,"Trunz, Elena, Dr.",GER,F,WFM
4685806,"Lupor, Stefan",GER,M,FM
4685954,"Wolf, Armin",GER,M,FM
4686411,"Dubkov, Andrej",GER,M,FM
4686438,"Kuci, Blerim",GER,M,CM
4686608,"Walter, Stefan",GER,M,IM
4686683,"Zuyev, Igor",GER,M,FM
4686799,"Rehberg, Raphael",GER,M,FM
4687388,"Beck, Frederik",GER,M,FM
4687400,"Strohhaeker, Raoul",GER,M,IM
4687990,"Meier, Alice",GER,F,WFM
4688058,"Figura, Atila Gajo",GER,M,IM
4688104,"Dauth, Benjamin",GER,M,FM
4688201,"Brener, Ilja",GER,M,IM
4688210,"Baldauf, Marco",GER,M,GM
4688350,"Montignies, Rainer",GER,M,CM
4688546,"Rapoport, Vladimir",GER,M,FM
4688856,"Zill, Christoph",GER,M,FM
4689232,"Nebel, Jens",GER,M,CM
4689542,"Sawlin, Leonid",GER,M,IM
4689968,"Brandes, Stephan",GER,M,CM
4690729,"Neumeier, Lars",GER,M,FM
4690745,"Lubbe, Melanie",GER,F,WGM
4691350,"Armbrust, Florian",GER,M,FM
4692055,"Bogner, Sebastian",SUI,M,GM
4692098,"Braun, Christian",GER,M,IM
4692950,"Rezasade, Amir",GER,M,FM
4693019,"Rupprecht, Andreas",GER,M,IM
4693060,"Scognamiglio, Stefanie",GER,F,WFM
4693523,"Germer, Philipp",GER,M,CM
4693558,"Ivanov, Vladimir",GER,M,FM
4693809,"Shmirina, Evgenija",GER,F,WIM
4693922,"Fiebig, Thomas",GER,M,IM
4694031,"Lubbe, Nikolas",GER,M,GM
4695704,"Nasshan, Dennis",GER,M,FM
4696360,"Kalhorn, Stefan",GER,M,CM
4696654,"Pohle, Dirk",GER,M,CM
4697367,"Coenen, Michael",GER,M,FM
4697499,"Grimberg, Boris",GER,M,IM
4697790,"Mantler, Hendrik",GER,M,CM
4698118,"Wagner, Florian",GER,M,FM
4698746,"Krulich, Roman",MNC,M,CM
4699033,"Seyb, Alexander",GER,M,IM
4699360,"Stock, Lara",CRO,F,WGM
4700015,"Muco, Fatos",ALB,M,IM
4700023,"Karkanaqe, Ilir",ALB,M,FM
4700031,"Seitaj, Ilir",ALB,M,IM
4700040,"Sula, Zeqir",ALB,M,FM
4700066,"Ashiku, Franc",ALB,M,IM
4700074,"Qendro, Llambi",ALB,M,IM
4700147,"Gjergji, Rozana",ALB,F,WFM
4700163,"Boshku, Harallamb",ALB,M,FM
4700171,"Rama, Lorenc",ALB,M,FM
4700180,"Mirimanian, Hayk",FRA,M,FM
4700228,"Cela, Altin",ALB,M,IM
4700236,"Dervishi, Erald",ALB,M,GM
4700295,"Zymberi, Astrit",KOS,M,FM
4700481,"Dardha, Arben",BEL,M,FM
4700520,"Kolani, Leonard",ALB,M,CM
4700562,"Shabanaj, Eglantina",ALB,F,WCM
4700597,"Shabanaj, Alda",ALB,F,WFM
4700600,"Mehmeti, Dritan",ALB,M,IM
4700694,"Driza, Arta",ALB,F,WCM
4700708,"Pasku, Roela",ALB,F,WFM
4700716,"Cela, Shkelqim",ALB,M,FM
4701003,"Paci, Aleksander",ALB,M,CM
4701100,"Geske, Bruna",ALB,F,WFM
4701178,"Pasko, Llambi",ALB,M,IM
4701194,"Hamiti, Gani",KOS,M,FM
4701313,"Veleshnja, Zino",ALB,M,FM
4701585,"Shuqja, Klean",ALB,F,WFM
4701631,"Zenelaj, Samuel",BIH,M,FM
4701739,"Bregu, Riza",ALB,M,CM
4701968,"Saraci, Korab",KOS,M,CM
4701976,"Saraci, Rinesa",KOS,F,WCM
4703804,"Omeri, Eklea",ALB,F,WCM
4704665,"Boci, Mateu",ALB,M,FM
4704703,"Caku, Kler",ALB,F,WFM
4705114,"Xhembulla, Aleksander",ALB,M,FM
4706609,"Zeneli, Klendi",ALB,M,CM
4800010,"Samer, M. Ibrahim",IRQ,M,FM
4800028,"Al-Atar, S Salim",IRQ,M,FM
4800036,Saad A.I.Sarsam,IRQ,M,IM
4800044,Mohammad Ali Al-Khawaja,IRQ,M,FM
4800052,"Abdul Satar, M A",IRQ,M,CM
4800060,"Mohammed Qanee, Arpak Worya",CAN,M,CM
4800079,"Adil, Ali Jalal",IRQ,M,FM
4800087,"Al-Saadi, Jumaa A.Gatea",IRQ,M,FM
4800095,"Madhi, S Abdulrazak",IRQ,M,IM
4800117,"Frmesk, W Mohammed Qani",IRQ,F,WCM
4800125,"Fati, F. M.",IRQ,F,WCM
4800133,"Hanna, D. M",IRQ,F,WCM
4800141,"Paiman, Jamal Mohamed Amin  PAIMAN",IRQ,F,WCM
4800150,"Taha Yasen, Mohammed",IRQ,M,FM
4800168,"Al-Khattab, Ghassan M. Ali Ajmed",IRQ,M,FM
4800176,"Abdulla, A.",IRQ,M,FM
4800184,"Ater, G. Hermiz",IRQ,M,FM
4800192,"Al-Ali, Hussein Ali Hussein",IRQ,M,IM
4800206,"Rashid, Russell",AUS,M,FM
4800214,"Ali, Ghazi Al-Saadi",IRQ,M,FM
4800230,"Akrawi, Samir",NED,M,FM
4800249,"Noah, A .H. Al-Ali",IRQ,M,IM
4800257,"Tariq, A.",IRQ,M,CM
4800281,"Jasim, Hussein Mayoof.",IRQ,M,CM
4800303,"Adnan,Habib Hana",IRQ,M,CM
4800320,"Nagem,Abd M.Issa,",IRQ,M,CM
4800427,"AL-Bahadly, Amjad Ali Mohammed",IRQ,M,FM
4800443,"Ahmad, Abdul Khaliq",IRQ,M,FM
